year,total_cases,growth_rate_%
1990,866.0,
1991,2801.0,223.44110854503464
1992,2371.0,-15.351660121385224
1993,1156.0,-51.24420075917335
1994,6533.0,465.1384083044983
1995,1333.0,-79.5958977498852
1996,855.0,-35.8589647411853
1997,1454.0,70.05847953216376
1998,4595.0,216.0247592847318
1999,1633.0,-64.46137105549509
2000,492.0,-69.87140232700551
2001,1463.0,197.3577235772358
2002,452.0,-69.10457963089543
2003,949.0,109.95575221238938
2004,610.0,-35.7218124341412
2005,1805.0,195.9016393442623
2006,550.0,-69.52908587257618
2007,1969.0,258.0
2008,106.0,-94.6165566277298
2009,1529.8153076171875,
2010,1566.987060546875,
2011,1521.412353515625,
2012,1624.2825927734375,
2013,1625.37744140625,
